Position,Team,Played Games,Form,Won,Draw,Lost,Points,Goals For,Goals Against,Goal Difference,Coach,Top Scorer,Goals,Penalties,Assists,Form Values
1,Liverpool FC,29,"W,W,W,D,W",21,7,1,70,69,27,42,Arne Slot,Mohamed Salah,27,9.0,16.0,"[3, 3, 3, 1, 3]"
2,Arsenal FC,29,"W,D,D,L,W",16,10,3,58,53,24,29,Mikel Arteta,Unknown,0,0.0,0.0,"[3, 1, 1, 0, 3]"
3,Nottingham Forest FC,29,"W,W,D,L,L",16,6,7,54,49,35,14,Nuno Espírito Santo,Chris Wood,18,3.0,3.0,"[3, 3, 1, 0, 0]"
4,Chelsea FC,29,"L,W,W,L,L",14,7,8,49,53,37,16,Enzo Maresca,Cole Palmer,14,3.0,6.0,"[0, 3, 3, 0, 0]"
5,Manchester City FC,29,"D,L,W,L,W",14,6,9,48,55,40,15,Pep Guardiola,Erling Haaland,21,2.0,3.0,"[1, 0, 3, 0, 3]"
6,Newcastle United FC,28,"W,L,W,L,L",14,5,9,47,47,38,9,Eddie Howe,Alexander Isak,19,2.0,5.0,"[3, 0, 3, 0, 0]"
7,Brighton & Hove Albion FC,29,"D,W,W,W,W",12,11,6,47,48,42,6,Fabian Hürzeler,Unknown,0,0.0,0.0,"[1, 3, 3, 3, 3]"
8,Fulham FC,29,"W,L,W,L,W",12,9,8,45,43,38,5,Marco Silva,Unknown,0,0.0,0.0,"[3, 0, 3, 0, 3]"
9,Aston Villa FC,29,"W,L,W,D,D",12,9,8,45,41,45,-4,Unai Emery,Ollie Watkins,13,2.0,5.0,"[3, 0, 3, 1, 1]"
10,AFC Bournemouth,29,"L,D,L,L,W",12,8,9,44,48,36,12,Iraola,Unknown,0,0.0,0.0,"[0, 1, 0, 0, 3]"
11,Brentford FC,29,"W,L,D,W,W",12,5,12,41,50,45,5,Thomas Frank,Bryan Mbeumo,15,4.0,5.0,"[3, 0, 1, 3, 3]"
12,Crystal Palace FC,28,"W,W,W,L,W",10,9,9,39,36,33,3,Oliver Glasner,Jean-Philippe Mateta,12,2.0,2.0,"[3, 3, 3, 0, 3]"
13,Manchester United FC,29,"W,D,W,D,L",10,7,12,37,37,40,-3,Ruben Amorim,Unknown,0,0.0,0.0,"[3, 1, 3, 1, 0]"
14,Tottenham Hotspur FC,29,"L,D,L,W,W",10,4,15,34,55,43,12,Ange Postecoglou,Unknown,0,0.0,0.0,"[0, 1, 0, 3, 3]"
15,Everton FC,29,"D,D,D,D,W",7,13,9,34,32,36,-4,David Moyes,Unknown,0,0.0,0.0,"[1, 1, 1, 1, 3]"
16,West Ham United FC,29,"D,L,W,W,L",9,7,13,34,33,49,-16,Graham Potter,Unknown,0,0.0,0.0,"[1, 0, 3, 3, 0]"
17,Wolverhampton Wanderers FC,29,"W,D,L,W,L",7,5,17,26,40,58,-18,Vítor Pereira,Matheus Cunha,13,0.0,5.0,"[3, 1, 0, 3, 0]"
18,Ipswich Town FC,29,"L,L,L,L,D",3,8,18,17,28,62,-34,Kieran McKenna,Unknown,0,0.0,0.0,"[0, 0, 0, 0, 1]"
19,Leicester City FC,29,"L,L,L,L,L",4,5,20,17,25,65,-40,Ruud van Nistelrooy,Unknown,0,0.0,0.0,"[0, 0, 0, 0, 0]"
20,Southampton FC,29,"L,L,L,L,L",2,3,24,9,21,70,-49,Ivan Juric,Unknown,0,0.0,0.0,"[0, 0, 0, 0, 0]"
